component,risk_level,story_points,num_stories,actual_bugs,test_coverage,code_churn,team_velocity,team_size,complexity_score,team_experience,dependencies,previous_bugs
Frontend Dashboard,critical,34,7,19,65.0,5283,48,5,3,5.30438655247835,5,19
Payment Gateway,medium,28,4,7,65.0,2428,57,1,2,4.573739991357968,2,7
Email Service,low,39,4,10,65.0,3434,50,3,2,3.3219642984099154,5,10
API Gateway,critical,12,5,9,65.0,3944,60,4,3,4.383006631476427,2,9
Email Service,medium,45,5,14,65.0,6575,38,3,3,4.943151762007244,2,14
Email Service,critical,27,4,11,65.0,7634,42,7,4,3.112262983467281,3,11
Payment Gateway,critical,46,5,18,65.0,2539,54,3,2,3.3939317064875314,1,18
Frontend Dashboard,critical,30,6,12,65.0,4501,55,3,3,5.153436182790277,3,12
User Authentication,critical,20,4,7,65.0,6432,51,2,3,5.2576240931611755,3,7
Email Service,high,30,2,10,65.0,4436,62,5,4,3.5255471257517748,3,10
Frontend Dashboard,critical,47,6,22,65.0,3933,48,7,3,4.746889452581195,2,22
Payment Gateway,critical,21,9,12,65.0,3311,49,7,2,5.4018135711108926,4,12
API Gateway,low,42,9,8,65.0,4281,37,4,2,2.6177951549459806,5,8
Email Service,low,28,8,6,65.0,3660,62,5,3,5.426231103054235,3,6
Email Service,low,28,6,4,65.0,3865,30,4,4,2.7644032929300746,4,4
Frontend Dashboard,critical,42,5,16,65.0,7906,40,5,2,2.624491976529719,2,16
User Authentication,medium,24,6,12,65.0,3846,52,5,3,4.301749590961408,2,12
Email Service,low,11,6,3,65.0,5486,58,7,3,3.9693576039647223,3,3
Email Service,low,38,9,6,65.0,2052,46,2,4,5.267935418810716,3,6
Email Service,low,40,5,8,65.0,4470,50,4,3,3.9550539625721237,1,8
Billing & Invoicing,low,17,2,6,65.0,4045,55,5,3,2.6858395557369636,3,6
Email Service,critical,16,5,12,65.0,2232,49,4,3,4.212721161256434,2,12
Email Service,critical,23,9,11,65.0,6287,38,3,3,3.345755066791755,2,11
API Gateway,critical,10,6,9,65.0,8514,43,3,4,4.177654395305375,3,9
Email Service,critical,31,4,16,65.0,5620,51,3,3,4.799041639313957,3,16
Frontend Dashboard,low,34,7,8,65.0,3582,56,6,3,3.0521343161506405,4,8
User Authentication,critical,27,5,13,65.0,4211,47,5,3,4.196247819257614,1,13
Email Service,low,24,6,6,65.0,3430,48,6,4,2.9010869631983085,5,6
Payment Gateway,medium,20,5,10,65.0,6905,41,5,3,2.6913836687607935,2,10
Email Service,critical,25,5,15,65.0,4546,44,3,3,3.68126542469622,3,15
User Authentication,low,29,5,2,65.0,3847,48,6,2,4.293424040204542,3,2
User Authentication,low,34,2,7,65.0,5019,51,4,3,4.005836215395525,5,7
Payment Gateway,low,36,3,8,65.0,5500,49,4,4,3.9416798225088043,1,8
User Authentication,low,35,6,7,65.0,6951,35,5,3,5.073573350552467,2,7
Email Service,critical,43,3,17,65.0,4052,42,4,4,3.9556913672960685,2,17
Frontend Dashboard,low,37,7,5,65.0,3017,39,7,2,4.850504507763727,1,5
Payment Gateway,medium,46,2,8,65.0,6677,37,0,2,5.37661561957123,2,8
User Authentication,critical,38,3,16,65.0,5104,48,3,3,3.276377225093572,2,16
Email Service,critical,41,6,14,65.0,7937,46,5,3,3.7169357783417123,2,14
Billing & Invoicing,medium,12,6,11,65.0,2331,51,7,4,4.334024968743178,2,11
Payment Gateway,critical,15,8,6,65.0,7268,49,2,4,3.2148690116592746,2,6
User Authentication,critical,42,7,12,65.0,5638,58,5,3,4.654042534381005,2,12
Email Service,low,43,7,8,65.0,4756,53,5,3,3.3204235461249394,4,8
Email Service,critical,10,3,3,65.0,1546,41,4,3,5.424712818430705,3,3
User Authentication,low,45,4,11,65.0,4096,51,7,2,5.024866022628322,1,11
Frontend Dashboard,low,39,5,7,65.0,2997,56,8,2,3.369183951214644,2,7
Email Service,critical,21,3,13,65.0,3810,55,4,2,4.017777400439181,4,13
Frontend Dashboard,medium,27,4,12,65.0,4575,36,3,3,4.798736418281137,2,12
Payment Gateway,critical,51,7,21,65.0,6108,51,5,3,3.3239976093637162,3,21
Email Service,low,25,7,6,65.0,8637,34,4,2,4.012398525755315,2,6
Email Service,low,36,6,9,65.0,5837,55,5,4,4.232060203659003,3,9
User Authentication,low,23,5,5,65.0,3520,53,2,2,4.574930205919955,4,5
Email Service,critical,10,6,12,65.0,5117,51,3,2,2.647926961329474,2,12
Email Service,critical,34,5,17,65.0,5469,45,5,3,3.3252966446773735,3,17
Email Service,high,22,8,7,65.0,5665,58,3,3,5.447447741803743,5,7
User Authentication,critical,36,5,19,65.0,7923,49,4,3,5.285666598682408,3,19
Email Service,low,28,8,1,65.0,6939,57,3,2,4.466529915538338,1,1
User Authentication,medium,19,7,6,65.0,4728,57,5,2,3.763902644900094,4,6
Frontend Dashboard,critical,17,7,10,65.0,1641,43,3,3,4.247305230664887,2,10
Email Service,critical,33,5,16,65.0,3871,45,6,3,4.289039492490328,2,16
Email Service,low,45,7,13,65.0,3893,40,6,4,4.385041352648333,2,13
Email Service,low,36,8,12,65.0,6481,55,5,2,4.421341821979759,2,12
API Gateway,critical,19,4,11,65.0,4799,37,5,3,5.2353553371453145,2,11
Payment Gateway,critical,25,4,13,65.0,5751,45,2,3,5.452268391899542,2,13
Email Service,critical,14,5,9,65.0,6002,52,5,3,3.404760609620655,2,9
Email Service,critical,31,5,18,65.0,5755,60,3,3,4.531372790447692,3,18
Payment Gateway,critical,31,6,13,65.0,5687,42,6,2,4.842097912514886,5,13
Email Service,low,25,2,1,65.0,3572,51,4,3,3.2585122020708677,1,1
Email Service,medium,47,7,16,65.0,4724,47,3,4,3.205093896435756,3,16
Email Service,low,36,6,7,65.0,3456,51,5,4,4.008626560196754,4,7
Email Service,high,25,7,9,65.0,3612,48,3,2,5.458530391851085,4,9
Email Service,critical,52,6,22,65.0,4836,64,4,3,3.021891117710016,2,22
Payment Gateway,critical,38,6,12,65.0,4395,60,5,4,3.7328276570503296,3,12
Payment Gateway,low,46,4,7,65.0,6762,39,5,4,5.0547442000517115,4,7
Email Service,low,32,8,6,65.0,4828,49,4,3,3.1990568931905043,4,6
User Authentication,critical,51,3,22,65.0,6849,54,4,3,3.8442564618492296,3,22
Email Service,low,10,7,0,65.0,4481,61,5,3,3.0769473183530516,3,0
Email Service,medium,50,5,15,65.0,5780,41,5,3,2.797438336832872,3,15
User Authentication,low,26,7,5,65.0,3791,63,3,4,4.499221914084757,2,5
User Authentication,critical,32,7,12,65.0,6070,58,7,4,2.735880132969274,2,12
Email Service,high,48,4,15,65.0,3534,42,2,2,5.138179170421586,5,15
Email Service,critical,27,6,12,65.0,4012,46,5,3,3.426753168531298,2,12
Payment Gateway,low,38,8,7,65.0,6441,49,4,4,5.05039820405511,2,7
API Gateway,critical,38,3,18,65.0,6479,50,4,4,4.497841498241392,4,18
Email Service,low,31,6,0,65.0,7499,50,3,3,3.0171590863154987,4,0
User Authentication,critical,31,7,15,65.0,3775,56,4,4,5.436842067563985,3,15
User Authentication,low,33,4,4,65.0,6688,47,4,4,2.8867077552204967,4,4
Email Service,low,27,5,9,65.0,2757,56,3,4,2.8804053973802803,4,9
User Authentication,critical,19,8,9,65.0,4881,42,5,3,3.682571483799724,4,9
User Authentication,low,32,6,10,65.0,6792,49,1,3,3.215011631883991,4,10
User Authentication,critical,29,5,13,65.0,4607,39,5,3,3.569676763530666,3,13
Billing & Invoicing,critical,10,4,5,65.0,4428,55,3,2,3.756798933951838,4,5
Email Service,low,39,6,6,65.0,7047,43,5,2,3.035559367817796,3,6
Email Service,critical,29,5,15,65.0,5408,58,6,4,3.29514186222785,3,15
Email Service,critical,38,2,19,65.0,4078,43,7,3,2.732450879666448,1,19
Email Service,critical,25,7,13,65.0,7185,43,4,4,4.849480087083709,2,13
User Authentication,low,38,8,8,65.0,6301,57,5,2,3.4035267609920763,2,8
Email Service,critical,30,5,8,65.0,5106,50,6,3,4.184783523136582,2,8
Email Service,critical,17,4,10,65.0,6505,60,3,2,5.026581192619344,2,10
Email Service,low,37,5,9,65.0,5278,41,2,2,3.9895462666918147,2,9
Email Service,critical,39,5,19,65.0,3151,47,5,2,3.6001657257813973,2,19
Payment Gateway,critical,42,2,22,65.0,6277,46,3,4,4.432639047968854,3,22
Frontend Dashboard,medium,50,7,15,65.0,5598,45,4,3,3.021932198565411,2,15
Email Service,critical,35,7,21,65.0,5638,47,4,4,2.9698384446779498,5,21
Frontend Dashboard,low,43,7,5,65.0,4993,44,7,2,3.5936992825595935,4,5
Email Service,low,43,6,12,65.0,5967,58,5,3,5.399772310669951,3,12
Email Service,critical,31,4,15,65.0,3297,58,4,3,4.833728220245611,2,15
User Authentication,critical,48,2,22,65.0,6749,66,5,2,3.3325684147071777,5,22
Payment Gateway,low,29,6,6,65.0,1372,55,4,3,2.658129369560317,1,6
Payment Gateway,low,38,6,4,65.0,5721,48,2,2,3.242388943699439,3,4
Payment Gateway,low,24,9,5,65.0,4870,48,5,4,5.405257391501223,3,5
User Authentication,medium,26,6,7,65.0,4507,30,2,3,3.570311471047754,2,7
User Authentication,low,18,7,7,65.0,6044,69,8,3,4.727907969045072,2,7
User Authentication,critical,24,5,16,65.0,1866,44,2,4,4.55262722556546,4,16
Email Service,medium,18,7,4,65.0,4626,46,4,2,3.7743825439942356,2,4
Frontend Dashboard,low,43,6,9,65.0,4765,46,2,2,5.342695378972129,4,9
Email Service,low,34,6,7,65.0,5411,61,3,2,4.088600845067372,2,7
Email Service,low,33,5,7,65.0,4924,44,4,3,5.023288511848304,5,7
User Authentication,critical,16,5,13,65.0,6331,41,3,4,4.799053841672171,3,13
Payment Gateway,low,33,7,7,65.0,3155,51,3,3,4.367726193498346,1,7
Email Service,low,30,9,8,65.0,2229,56,2,4,2.8919031446720793,2,8
Email Service,critical,27,7,12,65.0,3479,54,6,4,5.063546307732249,3,12
Email Service,low,36,3,9,65.0,5652,55,3,3,3.0607218893503543,1,9
Billing & Invoicing,critical,25,8,11,65.0,6845,56,3,4,3.879825853881888,3,11
Email Service,low,22,6,5,65.0,4550,40,5,3,2.5254867358216284,4,5
Payment Gateway,critical,10,5,4,65.0,5281,60,3,3,3.6593876929838056,3,4
User Authentication,critical,34,5,15,65.0,6582,34,4,3,3.7309111656179863,3,15
Email Service,critical,34,8,15,65.0,2329,53,5,2,2.85250552063712,2,15
API Gateway,low,58,8,13,65.0,3153,50,5,4,3.4250563650285963,4,13
Payment Gateway,critical,20,7,8,65.0,990,45,5,3,3.955218727428086,3,8
Payment Gateway,critical,39,9,20,65.0,3103,47,5,3,3.51399634308547,5,20
User Authentication,critical,55,5,22,65.0,7273,47,5,3,5.195790731706911,4,22
Payment Gateway,medium,21,5,6,65.0,3499,40,4,3,3.8255611242731917,2,6
Payment Gateway,medium,24,8,6,65.0,5623,47,3,4,3.2390447417269055,1,6
Email Service,medium,17,8,8,65.0,2865,55,4,3,2.5483739391166447,2,8
Email Service,low,41,4,10,65.0,7108,56,6,3,4.926575617100696,2,10
User Authentication,low,15,8,2,65.0,4988,56,6,2,3.196235733598495,4,2
Payment Gateway,medium,35,5,9,65.0,4280,57,3,2,4.982743652442107,3,9
User Authentication,critical,25,3,12,65.0,4534,54,5,4,2.5114908715009676,2,12
API Gateway,critical,19,4,11,65.0,6734,37,3,3,3.412922775462593,1,11
Email Service,low,35,4,10,65.0,4005,43,4,2,5.110074776560497,3,10
Email Service,low,40,4,11,65.0,4815,48,4,3,4.009400664244959,2,11
Payment Gateway,medium,34,5,13,65.0,2147,42,2,4,3.4385338840170045,1,13
User Authentication,critical,29,5,13,65.0,2707,55,6,3,3.5011126227268896,2,13
Payment Gateway,critical,20,6,10,65.0,9124,32,5,2,3.140612433651854,3,10
Email Service,medium,26,4,8,65.0,3146,41,5,4,5.244247986182981,2,8
Email Service,critical,17,4,4,65.0,5026,51,2,4,4.4016683854973255,1,4
Frontend Dashboard,medium,41,4,12,65.0,2244,52,3,4,4.009217800814827,1,12
User Authentication,critical,30,5,17,65.0,3587,57,3,3,3.8964609173190983,5,17
API Gateway,critical,39,5,15,65.0,6147,48,1,4,4.920123423235184,1,15
Email Service,low,24,6,4,65.0,5997,45,4,3,5.433561080505346,2,4
Email Service,critical,45,4,19,65.0,6128,55,4,2,3.130828533705584,3,19
User Authentication,critical,51,7,19,65.0,3812,47,3,4,3.925512598067885,2,19
Payment Gateway,low,30,5,9,65.0,6227,50,4,3,2.9095090362507463,2,9
Frontend Dashboard,critical,30,5,18,65.0,4055,58,7,3,5.367940176478217,3,18
Email Service,medium,37,7,8,65.0,2850,38,4,3,2.6820492068520467,3,8
